label,cost_model,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,branch,mask,exit
giga5_union::vwap_0025__shared_default,maker_optimistic,23,0.09239920409287877,0.4782608695652174,0.004017356699690382,-0.06284609010961664,0.013938528426506459,7.3478260869565215,8,0.11994327883621947,0.625,0.014992909854527434,giga5_union,vwap_0025,shared_default
giga5_union::trend_t008__score_43__hold12_t35_s12,maker_optimistic,11,0.09187152117506489,0.7272727272727273,0.008351956470460444,-0.012596400000000042,0.02353932721665707,6.909090909090909,7,0.057035443809487545,0.7142857142857143,0.008147920544212506,giga5_union,trend_t008,score_43__hold12_t35_s12
giga5_union::trend_t008__score_43__hold8_t35_s12,maker_optimistic,11,0.09143749694843775,0.7272727272727273,0.00831249972258525,-0.012596400000000021,0.02211840135171576,5.363636363636363,7,0.0647889756317927,0.7142857142857143,0.009255567947398957,giga5_union,trend_t008,score_43__hold8_t35_s12
giga5_union::score_43__hold12_t35_s12,maker_optimistic,20,0.09014782665984172,0.5,0.0045073913329920865,-0.025034130707039928,0.01686287576458671,5.85,10,0.07600946917309521,0.6,0.007600946917309522,giga5_union,score_43,hold12_t35_s12
giga5_union::trend_t008__vwap_0025__hold8_t35_s12,maker_optimistic,7,0.0890960460320091,0.7142857142857143,0.0127280065760013,-0.012596399999999865,0.023354274153578963,6.0,3,0.07938770343687293,1.0,0.026462567812290977,giga5_union,trend_t008,vwap_0025__hold8_t35_s12
giga5_union::trend_t009__hold12_t35_s12,maker_optimistic,16,0.08812756938036331,0.6875,0.005507973086272707,-0.025034130707039918,0.020887253639677743,7.75,8,0.044920740842260394,0.625,0.005615092605282549,giga5_union,trend_t009,hold12_t35_s12
giga5_union::trend_t009__vwap_003__hold8_t35_s12,maker_optimistic,9,0.0879931813841022,0.6666666666666666,0.009777020153789133,-0.012596399999999898,0.020720175306305242,5.777777777777778,5,0.07828483878896605,0.8,0.01565696775779321,giga5_union,trend_t009,vwap_003__hold8_t35_s12
coq3_momaccel::base__hold12_t35_s12,maker_optimistic,8,0.08717239999999994,0.5,0.010896549999999993,-0.02503413070703989,0.033556846700434205,2.625,5,0.030989799999999956,0.4,0.006197959999999991,coq3_momaccel,base,hold12_t35_s12
coq3_momaccel::base__hold8_t35_s12,maker_optimistic,8,0.08717239999999994,0.5,0.010896549999999993,-0.02503413070703989,0.033556846700434205,2.625,5,0.030989799999999956,0.4,0.006197959999999991,coq3_momaccel,base,hold8_t35_s12
giga5_union::trend_t008__vwap_003__score_43__shared_default,maker_optimistic,5,0.08650560098043861,0.8,0.017301120196087722,0.0,0.028249622737135306,6.8,4,0.09916839282192644,1.0,0.02479209820548161,giga5_union,trend_t008,vwap_003__score_43__shared_default
giga5_union::trend_t008__vwap_0025__shared_default,maker_optimistic,7,0.08622703737819828,0.7142857142857143,0.012318148196885469,-0.012662791841487832,0.02420944959410335,7.714285714285714,3,0.09063522558382175,1.0,0.030211741861273917,giga5_union,trend_t008,vwap_0025__shared_default
