pair,interval,strategy,trades_full,net_full,win_full,pf_full,dd_full,mfe_full,trades_recent,net_recent,win_recent,pf_recent,score,verdict,cost_model,side_cost_pct
GIGAUSD,5,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
DOGUSD,5,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
DOGUSD,5,adaptive_volume_spike_leader,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
DOGUSD,5,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
DOGUSD,5,adaptive_consensus2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,5,freqai_mtf_triple_confluence,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,5,freqai_mtf_quiet_then_burst,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,5,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,5,adaptive_quiet_burst,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,5,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
HYPEUSD,5,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
HYPEUSD,5,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
GIGAUSD,3,freqai_mtf_momentum_breakout_trail,7,0.011467836939476062,0.5714285714285714,1.2499174471680359,-0.02402840611643482,0.014805929358541954,3,-0.01087590985414666,0.3333333333333333,0.6444735427365353,-0.0022130312355565884,KILL,maker_optimistic,0.0003
HYPEUSD,3,adaptive_volume_spike_leader,3,-0.011044405341742669,0.3333333333333333,0.4637076166969667,-0.010297000000000148,0.008737084399492648,1,0.009549594658257332,1.0,inf,-0.0022849001935946345,KILL,maker_optimistic,0.0003
HYPEUSD,3,adaptive_quiet_burst,7,-0.015965067238400077,0.5714285714285714,0.48318062741898876,-0.020487971791000134,0.008367430044202198,2,0.013632999440009286,1.0,inf,-0.002994419369715588,KILL,maker_optimistic,0.0003
DOGUSD,5,freqai_mtf_triple_confluence,1,-0.003452532270765807,0.0,0.0,0.0,0.009211984263902684,0,0.0,0.0,0.0,-0.003452532270765807,KILL,maker_optimistic,0.0003
HYPEUSD,3,adaptive_consensus2,5,-0.008836543934717112,0.4,0.6334672047447808,-0.013775278900225037,0.009789179474632448,2,0.006352296497273535,0.5,2.807470614226636,-0.0036240049074672447,KILL,maker_optimistic,0.0003
DOGUSD,5,freqai_mtf_rsi_thrust,5,-0.00939491491090183,0.4,0.6290255177285138,-0.009545857470380238,0.01225553828204191,3,0.006384190277541557,0.6666666666666666,1.6687917033489112,-0.004145571730592781,KILL,maker_optimistic,0.0003
DOGUSD,5,freqai_mtf_volume_spike_trend,9,-0.012010112223716618,0.3333333333333333,0.7708841703940281,-0.02172487778858164,0.01469719966276586,6,0.00627062116323196,0.5,1.1836809537303137,-0.005760909897057971,KILL,maker_optimistic,0.0003
