pair,candidate,signals,fills,missed_entries,fill_rate,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,verdict,cost_model
DOGUSD,inside_resume__10bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,inside_resume__10bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim_strong__flat__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim_strong__flat__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim_strong__5bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim_strong__5bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim_strong__10bps__quick,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
COQUSD,ema_reclaim_strong__10bps__runner,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
HYPEUSD,inside_resume__flat__quick,4,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
HYPEUSD,inside_resume__flat__runner,4,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,ema_reclaim__flat__runner,6,3,3,0.5,3,-0.0001924646495865467,0.3333333333333333,-6.415488319551557e-05,-0.0008658363614380399,0.007161066598518495,5.333333333333333,1,-0.0008658363614379916,0.0,-0.0008658363614379916,KILL,maker_mid_passive_0.0010
GIGAUSD,score_filtered_ema__flat__runner,6,3,3,0.5,3,-0.0001924646495865467,0.3333333333333333,-6.415488319551557e-05,-0.0008658363614380399,0.007161066598518495,5.333333333333333,1,-0.0008658363614379916,0.0,-0.0008658363614379916,KILL,maker_mid_passive_0.0010
HYPEUSD,ema_reclaim_strong__flat__quick,1,1,0,1.0,1,-0.001182325989422605,0.0,-0.001182325989422605,0.0,0.004376670724649298,0.0,1,-0.001182325989422605,0.0,-0.001182325989422605,KILL,maker_mid_passive_0.0010
HYPEUSD,ema_reclaim_strong__flat__runner,1,1,0,1.0,1,-0.001182325989422605,0.0,-0.001182325989422605,0.0,0.004376670724649298,0.0,1,-0.001182325989422605,0.0,-0.001182325989422605,KILL,maker_mid_passive_0.0010
HYPEUSD,ema_reclaim_strong__5bps__quick,1,1,0,1.0,1,-0.001182325989422605,0.0,-0.001182325989422605,0.0,0.004376670724649298,0.0,1,-0.001182325989422605,0.0,-0.001182325989422605,KILL,maker_mid_passive_0.0010
HYPEUSD,ema_reclaim_strong__5bps__runner,1,1,0,1.0,1,-0.001182325989422605,0.0,-0.001182325989422605,0.0,0.004376670724649298,0.0,1,-0.001182325989422605,0.0,-0.001182325989422605,KILL,maker_mid_passive_0.0010
HYPEUSD,ema_reclaim_strong__10bps__quick,1,1,0,1.0,1,-0.001182325989422605,0.0,-0.001182325989422605,0.0,0.004376670724649298,0.0,1,-0.001182325989422605,0.0,-0.001182325989422605,KILL,maker_mid_passive_0.0010
HYPEUSD,ema_reclaim_strong__10bps__runner,1,1,0,1.0,1,-0.001182325989422605,0.0,-0.001182325989422605,0.0,0.004376670724649298,0.0,1,-0.001182325989422605,0.0,-0.001182325989422605,KILL,maker_mid_passive_0.0010
GIGAUSD,hybrid_support__10bps__quick,6,5,1,0.8333333333333334,5,-0.0011994500402397468,0.4,-0.00023989000804794936,-0.015917346334307234,0.006629907521178766,4.2,2,0.008282575758270568,0.5,0.004141287879135284,KILL,maker_mid_passive_0.0010
GIGAUSD,hybrid_support__10bps__runner,6,5,1,0.8333333333333334,5,-0.0014343797418627617,0.4,-0.00028687594837255233,-0.01936665125923815,0.007374042343525855,5.6,2,0.008585213724545347,0.5,0.004292606862272673,KILL,maker_mid_passive_0.0010
DOGUSD,hybrid_support__flat__runner,8,5,3,0.625,5,-0.0018478282995554735,0.2,-0.0003695656599110947,-0.017732030326728095,0.00789832885258992,2.4,4,0.010142171700444534,0.25,0.0025355429251111335,KILL,maker_mid_passive_0.0010
GIGAUSD,hybrid_support__5bps__quick,6,5,1,0.8333333333333334,5,-0.002699964237672766,0.4,-0.0005399928475345532,-0.01641012855675139,0.006427992383090676,4.2,2,0.0077843171757457615,0.5,0.0038921585878728807,KILL,maker_mid_passive_0.0010
GIGAUSD,hybrid_support__5bps__runner,6,5,1,0.8333333333333334,5,-0.002933881610741578,0.4,-0.0005867763221483156,-0.019857707466712345,0.007172127205437767,5.6,2,0.00808819830215658,0.5,0.00404409915107829,KILL,maker_mid_passive_0.0010
HYPEUSD,inside_resume__5bps__quick,4,1,3,0.25,1,-0.003368362233036254,0.0,-0.003368362233036254,0.0,0.007243649855478517,3.0,1,-0.003368362233036254,0.0,-0.003368362233036254,KILL,maker_mid_passive_0.0010
HYPEUSD,inside_resume__5bps__runner,4,1,3,0.25,1,-0.003368362233036254,0.0,-0.003368362233036254,0.0,0.007243649855478517,3.0,1,-0.003368362233036254,0.0,-0.003368362233036254,KILL,maker_mid_passive_0.0010
HYPEUSD,inside_resume__10bps__quick,4,1,3,0.25,1,-0.003368362233036254,0.0,-0.003368362233036254,0.0,0.007243649855478517,3.0,1,-0.003368362233036254,0.0,-0.003368362233036254,KILL,maker_mid_passive_0.0010
HYPEUSD,inside_resume__10bps__runner,4,1,3,0.25,1,-0.003368362233036254,0.0,-0.003368362233036254,0.0,0.007243649855478517,3.0,1,-0.003368362233036254,0.0,-0.003368362233036254,KILL,maker_mid_passive_0.0010
GIGAUSD,hybrid_support__flat__runner,6,6,0,1.0,6,-0.005255589683810017,0.3333333333333333,-0.0008759316139683362,-0.02115521733577383,0.008036464693585078,5.666666666666667,2,0.007591679895190417,0.5,0.0037958399475952085,KILL,maker_mid_passive_0.0010
GIGAUSD,vwap_reclaim__10bps__quick,2,1,1,0.5,1,-0.006182103773653159,0.0,-0.006182103773653159,0.0,0.0022849763999363694,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,vwap_reclaim__10bps__runner,2,1,1,0.5,1,-0.006182103773653159,0.0,-0.006182103773653159,0.0,0.0022849763999363694,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,vwap_reclaim__5bps__quick,2,1,1,0.5,1,-0.0063363108219742,0.0,-0.0063363108219742,0.0,0.0021296118770689687,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,vwap_reclaim__5bps__runner,2,1,1,0.5,1,-0.0063363108219742,0.0,-0.0063363108219742,0.0,0.0021296118770689687,0.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,vwap_reclaim__flat__quick,2,2,0,1.0,2,-0.007160016528032951,0.0,-0.0035800082640164753,-0.0008237057060587004,0.007747665562570628,3.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
GIGAUSD,vwap_reclaim__flat__runner,2,2,0,1.0,2,-0.007160016528032951,0.0,-0.0035800082640164753,-0.0008237057060587004,0.007747665562570628,3.0,0,0.0,0.0,0.0,KILL,maker_mid_passive_0.0010
DOGUSD,vwap_reclaim__flat__quick,4,2,2,0.5,2,-0.007270809554261858,0.0,-0.003635404777130929,-0.002998001998001962,0.002023817734292952,0.0,2,-0.007270809554261858,0.0,-0.003635404777130929,KILL,maker_mid_passive_0.0010
DOGUSD,vwap_reclaim__flat__runner,4,2,2,0.5,2,-0.007270809554261858,0.0,-0.003635404777130929,-0.002998001998001962,0.002023817734292952,0.0,2,-0.007270809554261858,0.0,-0.003635404777130929,KILL,maker_mid_passive_0.0010
GIGAUSD,breakout_retest__5bps__quick,15,9,4,0.6,9,-0.008439686790403973,0.4444444444444444,-0.0009377429767115525,-0.02983533918625958,0.006412561610394518,4.333333333333333,2,0.0077843171757457615,0.5,0.0038921585878728807,KILL,maker_mid_passive_0.0010
