construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,strategy
persistence_breakout_15,TAOUSD,3101,1772613900,189.38919208999997,3107,1772619300,195.4101585903292,TAKE_PROFIT,0.028691499999999946,0.035688456323252474,6,70.11067438263777,0.015937623587595373,0.0,0.04891887404890075,1.5164746108927836,persistence_breakout_15
persistence_breakout_15,XDGUSD,3122,1772632800,0.09434295933999998,3128,1772638200,0.09701103063000001,TIME_LIMIT,0.025180555418922612,0.034523409937376154,6,80.23251226113095,0.007809981455668156,0.00393018430367391,0.022651628698258874,0.9215289626906381,persistence_breakout_15
persistence_breakout_15,XDGUSD,3130,1772640000,0.09936056584999998,3131,1772640900,0.09786391751871461,STOP_LOSS,-0.018162799999999975,0.006994063933262319,1,70.32690693416029,0.021182998426986076,0.007921742057596999,0.03441485653940033,1.6368390349597912,persistence_breakout_15
persistence_breakout_15,TAOUSD,3199,1772702100,188.25458567999996,3205,1772707500,190.28378594999998,TIME_LIMIT,0.0076790217309728945,0.015813767878464485,6,69.91652041975367,0.0020975242117337897,0.0021509723376317304,0.012960493426366515,1.1510075103348225,persistence_breakout_15
persistence_breakout_15,SUIUSD,3212,1772714700,0.9856460599999999,3213,1772715600,0.9707994705274319,STOP_LOSS,-0.018162800000000007,0.0009678322054066275,1,84.78836890041391,0.008674731591330859,0.004262228536634963,0.02340444595556395,1.4542955326460498,persistence_breakout_15
persistence_breakout_15,TAOUSD,3216,1772717400,193.25885095999996,3216,1772717400,190.34783153975968,STOP_LOSS,-0.018162799999999958,0.0010998152940690932,0,109.32107787533599,0.00852956464625732,0.015005231556500492,0.02419444077394263,1.2619686917332829,persistence_breakout_15
persistence_breakout_15,HYPEUSD,3330,1772828100,30.845324999999995,3336,1772833500,30.913869000000002,TIME_LIMIT,-0.0008778156009052783,0.013767888650873486,6,153.704437280295,0.006925307192794524,0.010025873221216114,0.011017950823692542,1.374741200828157,persistence_breakout_15
persistence_breakout_15,XDGUSD,3367,1772853300,0.09226453613999999,3367,1772853300,0.09103910118000001,TREND_LOST,-0.016381754954477138,0.0,0,134.58258181847953,0.0013542421879275332,0.008085451184251318,-0.0035650681767515685,1.5180714208497066,persistence_breakout_15
persistence_breakout_15,TAOUSD,3386,1772870400,178.61188568999998,3392,1772875800,179.08650546,TIME_LIMIT,-0.0004427313184309266,0.010751884190580109,6,95.35012957347371,0.0013534107523909395,0.004895908007373888,0.007712885072424433,1.1354873716947143,persistence_breakout_15
persistence_breakout_15,HYPEUSD,3383,1772877600,30.855355999999997,3389,1772883000,30.814179,TIME_LIMIT,-0.0044345170932397465,0.006308272703124988,6,96.03481184462467,0.0011674016363438732,0.003572588502760618,0.003943657402003849,1.171428571428575,persistence_breakout_15
persistence_breakout_15,TAOUSD,3410,1772892000,185.64582350999999,3410,1772892000,182.84947759963356,STOP_LOSS,-0.018162799999999993,0.0,0,119.49050953382837,0.007818558574768097,0.022497696136149103,0.013998662611948388,1.458696010180401,persistence_breakout_15
