pair,interval,strategy,trades_full,net_full,win_full,dd_full,avg_mfe_full,trades_recent,net_recent,win_recent,score,verdict,cost_model,side_cost_pct
GIGAUSD,5,deep_vwap_pullback,21,-0.02449714759378907,0.38095238095238093,-0.09872292291052069,0.01210219796967322,9,0.006911394196335352,0.4444444444444444,-0.018174679816429222,KILL,taker_like,0.0031
DOGUSD,3,rsi_oversold_trend,1,-0.0074517078896852995,0.0,0.0,0.0007340416065693134,1,-0.0074517078896852995,0.0,-0.01862926972421325,KILL,taker_like,0.0031
COQUSD,5,atr_squeeze_expand,11,-0.04245594482642501,0.36363636363636365,-0.0730790396235144,0.012853670864484574,2,0.018796935494766354,1.0,-0.021949844444070808,KILL,taker_like,0.0031
COQUSD,1,bb_squeeze_breakout,7,-0.030498037223198327,0.2857142857142857,-0.029898712056160143,0.011886544611812155,2,0.00945027457732428,0.5,-0.023660278672634545,KILL,taker_like,0.0031
DOGUSD,5,triple_confluence,18,-0.025180371857526418,0.3888888888888889,-0.05221234966280459,0.010472052440117495,12,0.0010808766465160158,0.4166666666666667,-0.027225330984743522,KILL,taker_like,0.0031
GIGAUSD,1,bb_squeeze_breakout,14,-0.008229837727121159,0.35714285714285715,-0.044256587091003906,0.006506244111062027,4,-0.012522205225982352,0.25,-0.029209006871642157,KILL,taker_like,0.0031
COQUSD,3,bb_squeeze_breakout,7,-0.025330540861093764,0.42857142857142855,-0.04816894436326603,0.00887566854328419,3,0.0012426111512428006,0.6666666666666666,-0.031130671269780284,KILL,taker_like,0.0031
DOGUSD,3,vwap_reclaim_trend,3,-0.012339132006587539,0.3333333333333333,-0.013069000000000068,0.004030042188040965,2,-0.008207404280065389,0.5,-0.0325964212466435,KILL,taker_like,0.0031
GIGAUSD,1,rsi_oversold_trend,1,-0.013068999999999997,0.0,0.0,0.0,1,-0.013068999999999997,0.0,-0.03267249999999999,KILL,taker_like,0.0031
HYPEUSD,1,atr_squeeze_expand,5,-0.01644847875915112,0.2,-0.02847636630077759,0.006168326635096033,1,-0.008072627140129573,0.0,-0.033331121601924245,KILL,taker_like,0.0031
GIGAUSD,5,breakout_asymmetric,2,-0.008830767552844287,0.5,-0.013068999999999959,0.013001230850299583,1,-0.013068999999999997,0.0,-0.033536624373790284,KILL,taker_like,0.0031
DOGUSD,1,macd_trend_long,1,-0.015062800000000043,0.0,0.0,0.0,1,-0.015062800000000043,0.0,-0.03765700000000011,KILL,taker_like,0.0031
COQUSD,5,bb_squeeze_breakout,1,-0.015062800000000154,0.0,0.0,0.0,1,-0.015062800000000154,0.0,-0.037657000000000385,KILL,taker_like,0.0031
HYPEUSD,1,momentum_breakout,4,-0.031614113773164254,0.25,-0.018053500000000146,0.00833027797914837,0,0.0,0.0,-0.04044342961864142,KILL,taker_like,0.0031
GIGAUSD,1,breakout_asymmetric,3,-0.007385800408523768,0.0,-0.004758553184065375,0.011676201835226033,1,-0.0011822062169690728,0.0,-0.044479968750491206,KILL,taker_like,0.0031
GIGAUSD,3,breakout_asymmetric,3,-0.017283753760920728,0.3333333333333333,-0.013068999999999994,0.011545811250972093,1,-0.013068999999999997,0.0,-0.044771010378182804,KILL,taker_like,0.0031
DOGUSD,5,vwap_reclaim_trend,2,-0.003361757990148373,0.0,-0.0012791419349709476,0.0029651467132453257,1,-0.0012791419349709177,0.0,-0.04712074807893422,KILL,taker_like,0.0031
COQUSD,1,red_streak_reversal,9,0.007681416690748288,0.5555555555555556,-0.03785936754094154,0.021331373237043087,3,-0.03834720519008061,0.0,-0.04799746833164612,KILL,taker_like,0.0031
DOGUSD,5,bb_lower_bounce,9,-0.022719553029817985,0.4444444444444444,-0.028053937501855187,0.005283862562169148,5,-0.01183376994533547,0.4,-0.048316297361994304,KILL,taker_like,0.0031
DOGUSD,1,vwap_reclaim_trend,3,-0.022599336604691822,0.3333333333333333,-0.013068999999999985,0.003438484950930798,2,-0.009530336604691714,0.5,-0.05050261767311049,KILL,taker_like,0.0031
COQUSD,3,volume_climax_reversal,3,-0.021001216185308147,0.3333333333333333,-0.029898712056160064,0.011151528726633128,1,-0.015062800000000043,0.0,-0.052278203047229445,KILL,taker_like,0.0031
COQUSD,3,bb_lower_bounce,3,-0.01129380000000002,0.3333333333333333,-0.02596720123900003,0.011781785937961123,2,-0.026137999999999995,0.0,-0.05454684273247068,KILL,taker_like,0.0031
HYPEUSD,1,quiet_then_burst,18,-0.04235202232905355,0.3333333333333333,-0.06323801504609697,0.007397674715240677,5,-0.005798814963597243,0.4,-0.05991457405576692,KILL,taker_like,0.0031
COQUSD,5,deep_vwap_pullback,14,-0.04125930148995327,0.35714285714285715,-0.044511153736200404,0.015794430026374515,8,-0.009686744017240456,0.375,-0.06279297935366276,KILL,taker_like,0.0031
COQUSD,5,red_streak_reversal,5,-0.0354380000000003,0.2,-0.03869683588600765,0.036750811118457884,1,-0.013069000000000108,0.0,-0.06689089980606605,KILL,taker_like,0.0031
COQUSD,1,volume_climax_reversal,4,-0.015965993016890057,0.25,-0.032497024571464805,0.016370128399384065,3,-0.032803993016889965,0.0,-0.07047149638836105,KILL,taker_like,0.0031
HYPEUSD,1,rsi_oversold_trend,2,-0.010928878319967916,0.0,-0.006675646049896768,0.0,2,-0.010928878319967916,0.0,-0.07243785032180937,KILL,taker_like,0.0031
GIGAUSD,3,atr_squeeze_expand,24,-0.08017698834966136,0.375,-0.1217042094207221,0.009495929859212299,12,0.009591426251502222,0.5833333333333334,-0.07774754258812012,KILL,taker_like,0.0031
GIGAUSD,3,triple_confluence,28,-0.09175604686449457,0.4642857142857143,-0.10340405054210432,0.0067005782187498876,13,0.015977462536070575,0.6153846153846154,-0.08217164593629872,KILL,taker_like,0.0031
GIGAUSD,5,bb_lower_bounce,6,-0.0447516197977581,0.16666666666666666,-0.0409338004271587,0.003511236142189363,3,-0.012432780399891152,0.3333333333333333,-0.08383202733611322,KILL,taker_like,0.0031
DOGUSD,1,momentum_breakout,10,-0.08919778947778445,0.2,-0.08655605885241552,0.004436441031618288,1,0.018633621541013,1.0,-0.0840875323343069,KILL,taker_like,0.0031
GIGAUSD,5,bb_squeeze_breakout,11,-0.06571428344336838,0.18181818181818182,-0.05384088246121955,0.005775076830360321,2,-0.00044750452103570204,0.5,-0.09244407007201229,KILL,taker_like,0.0031
DOGUSD,1,bb_lower_bounce,8,-0.048398671676718186,0.125,-0.06159104301036105,0.002730539476998889,3,-0.019547380844731177,0.0,-0.09658592978304206,KILL,taker_like,0.0031
GIGAUSD,1,quiet_then_burst,36,-0.08564783146994581,0.3611111111111111,-0.16530950797900662,0.007645366340541187,13,0.0009222051710784385,0.46153846153846156,-0.09787384781917015,KILL,taker_like,0.0031
GIGAUSD,3,momentum_breakout_trail,48,-0.10494701078901425,0.3958333333333333,-0.19296179041816827,0.011344488419001644,22,0.008628575844909947,0.36363636363636365,-0.10037901548926854,KILL,taker_like,0.0031
DOGUSD,5,momentum_breakout,11,-0.046028953543634454,0.45454545454545453,-0.05365449799046883,0.012383556676465825,5,-0.03115898919822846,0.4,-0.10338369940019995,KILL,taker_like,0.0031
GIGAUSD,5,atr_squeeze_expand,11,-0.08269015310469874,0.2727272727272727,-0.08086187356829304,0.00550887032010694,5,-0.0003961024799706836,0.6,-0.10737344666014297,KILL,taker_like,0.0031
GIGAUSD,3,momentum_breakout,16,-0.0640340127338771,0.375,-0.06497574452686196,0.012061135206580753,7,-0.025298510859094514,0.2857142857142857,-0.11140770826026632,KILL,taker_like,0.0031
