cost_model,pair,interval,strategy,trades_full,net_full,trades_recent,net_recent,score,keep
taker_like,DOGUSD,3,volume_spike_trend,115,-0.7721948312902981,47,-0.28023694134942034,-1.2625417881710705,False
taker_like,DOGUSD,3,volume_climax_reversal,20,-0.09605274871668057,11,-0.04855491983024629,-0.19198770070401705,False
taker_like,DOGUSD,3,triple_confluence,25,-0.17092734839548918,11,-0.07290387931585651,-0.31342376882983397,False
taker_like,DOGUSD,3,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,DOGUSD,3,breakout_asymmetric,4,-0.05227599999999988,0,0.0,-1569534494136.1824,False
taker_like,DOGUSD,3,breakout_scalp,120,-0.7703172597683259,52,-0.3363076044332749,-1.3701343882458514,False
taker_like,DOGUSD,5,momentum_breakout,11,-0.046028953543634454,5,-0.03115898919822846,-0.10338369940019995,False
taker_like,DOGUSD,5,momentum_breakout_trail,29,-0.27060898676638656,11,-0.07225845061546288,-0.42184444575722235,False
taker_like,DOGUSD,5,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,DOGUSD,5,rsi_momentum_thrust,87,-0.5564639785652681,36,-0.17710898749968973,-0.8810463609577165,False
taker_like,DOGUSD,5,rsi_oversold_trend,0,0.0,0,0.0,0.0,False
taker_like,DOGUSD,5,bb_lower_bounce,9,-0.022719553029817985,5,-0.01183376994533547,-0.048316297361994304,False
taker_like,DOGUSD,5,deep_vwap_pullback,30,-0.24846268494337131,10,-0.11251571517882819,-0.4673763267043385,False
taker_like,DOGUSD,5,ema_fast_bounce,235,-2.0106576356956403,103,-0.9380315354755252,-3.591399200596937,False
taker_like,DOGUSD,5,red_streak_reversal,17,-0.09897949590926103,7,-0.02877375003556104,-0.16992645086449507,False
taker_like,DOGUSD,5,bb_squeeze_breakout,20,-0.09904962466424361,6,-0.04820345543963667,-0.1871076214748914,False
taker_like,DOGUSD,5,atr_squeeze_expand,16,-0.01928194600708033,9,0.04943423091350374,0.052110927472844466,False
taker_like,DOGUSD,5,quiet_then_burst,43,-0.2676847631655842,22,-0.17575432854389939,-0.570165935120017,False
taker_like,DOGUSD,5,higher_low_structure,102,-0.6886301066930105,45,-0.19437872953762003,-1.042547270955206,False
taker_like,DOGUSD,5,vwap_reclaim_trend,2,-0.003361757990148373,1,-0.0012791419349709177,-0.04712074807893422,False
taker_like,DOGUSD,5,momentum_accel,110,-0.7570946661146475,41,-0.20856654202558644,-1.128841252972802,False
taker_like,DOGUSD,5,volume_spike_trend,93,-0.5243685798130285,44,-0.24883790436154662,-0.9478025363179493,False
taker_like,DOGUSD,5,volume_climax_reversal,14,-0.07536485871886778,5,-0.028311709538821672,-0.14450734512604546,False
taker_like,DOGUSD,5,triple_confluence,18,-0.025180371857526418,12,0.0010808766465160158,-0.027225330984743522,False
taker_like,DOGUSD,5,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,DOGUSD,5,breakout_asymmetric,0,0.0,0,0.0,0.0,False
taker_like,DOGUSD,5,breakout_scalp,93,-0.5369581158626902,42,-0.19562797712164692,-0.9022719098029818,False
taker_like,COQUSD,1,momentum_breakout,22,-0.24488051818976386,9,-0.10692972690195335,-0.44007461025017136,False
taker_like,COQUSD,1,momentum_breakout_trail,48,-0.0024948769945257743,18,0.04522334072993894,0.06522205343768744,False
taker_like,COQUSD,1,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,1,rsi_momentum_thrust,36,-0.21907110696039378,12,-0.09789816414349073,-0.3884022895941861,False
taker_like,COQUSD,1,rsi_oversold_trend,1,-0.013068999999999997,0,0.0,-0.013068999999999997,False
taker_like,COQUSD,1,bb_lower_bounce,2,-0.026137999999999884,2,-0.026137999999999884,-2354301741204.2554,False
taker_like,COQUSD,1,deep_vwap_pullback,19,-0.14760291955632188,7,-0.051874108267561114,-0.250649717369057,False
taker_like,COQUSD,1,ema_fast_bounce,55,-0.07260604342708388,12,-0.04603505489075477,-0.14812867738791421,False
taker_like,COQUSD,1,red_streak_reversal,9,0.007681416690748288,3,-0.03834720519008061,-0.04799746833164612,False
taker_like,COQUSD,1,bb_squeeze_breakout,7,-0.030498037223198327,2,0.00945027457732428,-0.023660278672634545,False
taker_like,COQUSD,1,atr_squeeze_expand,22,-0.042337530162346315,6,-0.07325592407681292,-0.1567517294912884,False
taker_like,COQUSD,1,quiet_then_burst,62,-0.33001099014848834,29,-0.17382491880354778,-0.6201839646595632,False
taker_like,COQUSD,1,higher_low_structure,77,-0.31959230907523895,32,-0.045165290663876756,-0.40940063489133155,False
taker_like,COQUSD,1,vwap_reclaim_trend,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,1,momentum_accel,107,-0.5829927534710501,46,-0.25710160810553306,-1.0001086021453856,False
taker_like,COQUSD,1,volume_spike_trend,72,-0.32870690328664365,33,-0.20602895849762137,-0.6626993277601398,False
taker_like,COQUSD,1,volume_climax_reversal,4,-0.015965993016890057,3,-0.032803993016889965,-0.07047149638836105,False
taker_like,COQUSD,1,triple_confluence,18,-0.18524932903807245,6,-0.065352037750262,-0.3099244288329634,False
taker_like,COQUSD,1,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,1,breakout_asymmetric,8,-0.017460776950726786,3,0.012691086354041259,-0.0014141978164135078,False
taker_like,COQUSD,1,breakout_scalp,79,-0.32567875591675033,34,-0.12047996894258983,-0.5445659134670078,False
taker_like,COQUSD,3,momentum_breakout,16,-0.08546340453732781,5,-0.014126069505118521,-0.1204105835000832,False
taker_like,COQUSD,3,momentum_breakout_trail,49,-0.19262210808941227,20,-0.06087415057084544,-0.29545726337670286,False
taker_like,COQUSD,3,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,3,rsi_momentum_thrust,30,-0.15042628090612076,12,0.00847333163698738,-0.1549155538879665,False
taker_like,COQUSD,3,rsi_oversold_trend,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,3,bb_lower_bounce,3,-0.01129380000000002,2,-0.026137999999999995,-0.05454684273247068,False
taker_like,COQUSD,3,deep_vwap_pullback,20,-0.14757615788619427,10,-0.07071875788619397,-0.2774555758865723,False
taker_like,COQUSD,3,ema_fast_bounce,181,-1.165821843708586,75,-0.5434128470262444,-2.0478936935612118,False
taker_like,COQUSD,3,red_streak_reversal,9,-0.027899999999999703,4,-0.0522760000000001,-0.11253327976727832,False
taker_like,COQUSD,3,bb_squeeze_breakout,7,-0.025330540861093764,3,0.0012426111512428006,-0.031130671269780284,False
taker_like,COQUSD,3,atr_squeeze_expand,10,-0.01909571832887824,3,0.003734135494766422,-0.017695329409007633,False
taker_like,COQUSD,3,quiet_then_burst,45,-0.33180865437438734,23,-0.1316406844514859,-0.5676884111637852,False
taker_like,COQUSD,3,higher_low_structure,72,-0.4526942352023876,32,-0.10057699465796666,-0.6390910893558727,False
taker_like,COQUSD,3,vwap_reclaim_trend,1,-0.013068999999999997,0,0.0,-0.013068999999999997,False
taker_like,COQUSD,3,momentum_accel,96,-0.8290685453093352,47,-0.4098203896765227,-1.4976812209489143,False
taker_like,COQUSD,3,volume_spike_trend,82,-0.5613898710196565,39,-0.2957158521218073,-1.046895873548196,False
taker_like,COQUSD,3,volume_climax_reversal,3,-0.021001216185308147,1,-0.015062800000000043,-0.052278203047229445,False
taker_like,COQUSD,3,triple_confluence,18,-0.1708426244663036,5,-0.03588397179786651,-0.25413638220495893,False
taker_like,COQUSD,3,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,3,breakout_asymmetric,10,-0.02459119392107445,4,0.017306305935842814,-0.0036067758237635344,False
taker_like,COQUSD,3,breakout_scalp,67,-0.3153799035791086,28,-0.10869543812648319,-0.5169760886712644,False
taker_like,COQUSD,5,momentum_breakout,20,-0.1434005449170056,5,-0.01412606950511841,-0.18747241289779523,False
taker_like,COQUSD,5,momentum_breakout_trail,47,-0.0898699885947265,20,-0.13134249354246352,-0.29181217005437643,False
taker_like,COQUSD,5,macd_trend_long,1,-0.015062800000000043,0,0.0,-0.015062800000000043,False
taker_like,COQUSD,5,rsi_momentum_thrust,28,-0.09903336499031645,13,-0.019734449054355174,-0.1394960714563222,False
taker_like,COQUSD,5,rsi_oversold_trend,0,0.0,0,0.0,0.0,False
taker_like,COQUSD,5,bb_lower_bounce,1,0.014844199999999974,1,0.014844199999999974,0.037110499999999935,False
taker_like,COQUSD,5,deep_vwap_pullback,14,-0.04125930148995327,8,-0.009686744017240456,-0.06279297935366276,False
